cls,name,n_scored,n_registrations,proof_base_pct,proof_lift_raw_pp,proof_lift_raw_se,proof_q5_fe_pp,proof_q5_fe_se,reg_atyp_q1,reg_atyp_q5,reg_lead_q1,reg_lead_q5
001,Chemicals,117113,55166,39.23,1.853,0.659,2.93,0.66,63.03,60.28,64.85,61.55
002,Paints,34038,16070,39.92,-0.28,1.226,-1.136,1.235,64.35,64.51,65.66,66.4
003,Cosmetics & Cleaning,303883,118261,54.37,7.811,0.458,7.324,0.458,56.96,58.05,57.19,53.01
004,Lubricants & Fuels,40376,16708,48.04,7.062,1.22,4.978,1.215,47.34,57.15,56.92,55.31
005,Pharmaceuticals,353272,124888,53.44,2.837,0.447,2.059,0.447,49.82,53.24,46.85,49.2
006,Metal Goods,90516,44132,39.31,3.161,0.737,2.799,0.737,65.7,61.53,62.39,68.45
007,Machinery,147601,74433,39.09,3.775,0.571,3.76,0.57,71.5,62.27,68.31,68.11
008,Hand Tools,59925,25976,43.6,9.632,0.97,7.893,0.965,65.88,59.79,60.89,63.66
009,Software & Electronics,1109643,452911,52.35,1.645,0.235,3.283,0.235,53.06,60.76,57.08,55.22
010,Medical Apparatus,166281,70401,45.54,9.456,0.592,9.724,0.59,56.37,57.57,57.81,60.5
011,Lighting & Heating,162210,75376,46.1,9.363,0.573,7.522,0.573,64.51,60.67,63.7,64.48
012,Vehicles,125045,55734,45.3,1.023,0.668,0.392,0.667,60.76,59.74,56.55,64.44
013,Firearms,21372,9516,37.27,2.697,1.534,-1.009,1.56,66.07,64.5,57.53,65.76
014,Jewelry,131942,55321,55.65,4.099,0.668,3.674,0.667,57.29,53.92,53.61,58.17
015,Musical Instruments,17339,7622,40.54,0.131,1.79,-1.492,1.781,68.3,59.3,50.73,64.92
016,Paper & Printed Goods,418466,167752,50.19,2.489,0.386,1.403,0.388,55.0,57.54,58.62,56.03
017,Rubber & Plastics,47949,23857,38.63,3.353,0.996,2.815,0.994,60.84,62.85,65.47,70.19
018,Leather Goods,138832,58194,54.97,5.009,0.654,3.272,0.661,57.48,58.34,56.59,59.47
019,Building Materials,71303,34332,43.98,1.15,0.847,0.459,0.847,65.09,63.56,62.56,65.51
020,Furniture,152437,63640,48.61,6.152,0.625,3.348,0.631,57.72,59.76,58.3,60.64
021,Household Utensils,168340,66993,50.18,7.672,0.609,5.663,0.607,58.27,57.52,56.46,62.22
022,Cordage & Fibers,22539,9556,43.55,3.423,1.603,3.578,1.598,45.21,63.14,53.34,65.79
023,Yarns,7350,2933,,,,,,61.02,65.94,61.76,60.09
024,Textiles,82679,32519,51.09,7.38,0.874,7.92,0.876,56.62,60.09,57.09,56.54
025,Clothing & Footwear,697496,252116,58.33,5.005,0.313,4.725,0.312,48.76,52.17,50.89,51.43
026,Lace & Embroidery,35714,13857,53.75,4.221,1.336,3.685,1.345,55.87,59.85,54.56,61.57
027,Carpets,26446,10298,46.68,6.262,1.551,6.181,1.554,60.96,58.11,54.12,56.27
028,Games & Sporting Goods,298395,111839,55.61,-0.501,0.471,-1.271,0.47,54.35,53.89,50.89,54.99
029,Meats & Processed Foods,148409,60893,49.69,9.516,0.638,9.146,0.679,55.9,51.02,57.11,54.82
030,Staple Foods,248727,102594,51.86,2.944,0.493,2.994,0.51,57.35,52.12,55.65,55.74
031,Agricultural Products,77125,32292,43.94,2.685,0.873,2.894,0.872,59.28,55.81,59.62,56.8
032,Beer & Soft Drinks,132407,48341,53.33,-9.06,0.715,-5.843,0.717,55.22,45.2,45.48,47.98
033,Alcoholic Beverages,140233,56974,42.52,5.371,0.657,1.32,0.691,54.54,47.77,49.67,51.36
034,Tobacco,45816,16112,54.18,25.64,1.194,19.026,1.203,54.07,47.02,52.61,47.74
035,Advertising & Retail,925441,428569,54.39,-0.642,0.241,-0.668,0.242,56.73,62.04,61.66,59.9
036,Insurance & Finance,395129,183011,49.53,-2.19,0.37,-0.58,0.369,60.67,64.91,62.03,62.95
037,Construction & Repair,169114,86335,47.28,-2.965,0.537,-3.148,0.539,65.13,67.8,65.67,68.69
038,Telecommunications,167795,64322,60.58,-1.321,0.61,-1.044,0.615,48.15,49.91,50.36,50.54
039,Transport & Storage,117209,54593,49.23,-3.91,0.676,-3.028,0.678,60.16,63.63,64.27,61.53
040,Material Treatment,91052,43966,47.47,-1.962,0.754,-2.322,0.757,62.58,62.18,64.35,59.69
041,Education & Entertainment,828012,381509,53.1,-0.64,0.255,0.184,0.254,58.48,61.33,57.71,61.33
042,Scientific & Tech Services,675072,268366,54.24,8.804,0.303,7.756,0.303,56.8,61.29,60.35,57.48
043,Hotels & Restaurants,182123,86774,48.59,4.316,0.536,3.267,0.541,59.67,59.83,58.4,58.42
044,Medical & Beauty Services,186397,92827,51.76,0.916,0.518,0.719,0.52,64.38,60.75,61.4,61.28
045,Legal & Personal Services,125145,64206,53.09,-1.094,0.62,-2.65,0.632,62.92,60.79,55.75,64.51
