theme,label,leading_words,corpus_share,class_001,class_002,class_003,class_004,class_005,class_006,class_007,class_008,class_009,class_010,class_011,class_012,class_013,class_014,class_015,class_016,class_017,class_018,class_019,class_020,class_021,class_022,class_023,class_024,class_025,class_026,class_027,class_028,class_029,class_030,class_031,class_032,class_033,class_034,class_035,class_036,class_037,class_038,class_039,class_040,class_041,class_042,class_043,class_044,class_045
0,"Electronic apparatus and control systems","apparatus systems devices electronic control electric software monitoring",0.02407,0.01381,0.01170,0.00341,0.00906,0.00477,0.02268,0.04308,0.00968,0.11350,0.05112,0.04879,0.02185,0.02169,0.00777,0.01580,0.00718,0.02080,0.00422,0.01160,0.01009,0.00585,0.00814,0.00551,0.00359,0.00317,0.00312,0.00475,0.00837,0.00318,0.00355,0.00387,0.00490,0.00597,0.00574,0.00852,0.00387,0.04933,0.02121,0.01261,0.02611,0.00518,0.02990,0.00308,0.00844,0.02671
1,"Accessories and cables","accessories adapted specially cables specially adapted straps cable equipment",0.01118,0.00618,0.00688,0.00400,0.00709,0.00487,0.05509,0.01782,0.02595,0.02464,0.02626,0.01346,0.03957,0.12354,0.01018,0.03675,0.00735,0.03504,0.02075,0.01695,0.02554,0.01429,0.10644,0.01093,0.00912,0.00782,0.05434,0.01421,0.02436,0.00408,0.00484,0.00499,0.00413,0.00608,0.00840,0.00414,0.00262,0.00705,0.00373,0.00454,0.00902,0.00307,0.00369,0.00358,0.00367,0.00417
2,"Design and technical development services","design field systems development services equipment technology technical",0.01861,0.01706,0.01355,0.00331,0.00838,0.00511,0.01351,0.02783,0.00475,0.02517,0.00933,0.01063,0.01875,0.01973,0.00536,0.00620,0.01193,0.01638,0.00282,0.01131,0.00967,0.00368,0.00635,0.00570,0.00398,0.00319,0.00352,0.00597,0.00694,0.00452,0.00509,0.00541,0.00435,0.00708,0.00476,0.02100,0.00823,0.05525,0.01377,0.02499,0.12401,0.01358,0.07591,0.00462,0.00885,0.01940
3,"Health and wellness services","services health field care information personal wellness fields",0.02064,0.00566,0.00355,0.00511,0.00447,0.00831,0.00235,0.00240,0.00258,0.00929,0.00732,0.00287,0.00359,0.00542,0.00540,0.00364,0.02698,0.00223,0.00306,0.00320,0.00443,0.00365,0.00304,0.00390,0.00442,0.00511,0.00351,0.00435,0.00440,0.00420,0.00452,0.00544,0.00497,0.00627,0.00437,0.03741,0.03433,0.00960,0.00955,0.01267,0.00707,0.04287,0.03015,0.02231,0.17752,0.08609
4,"Plants, seeds and agriculture","plants agricultural flowers seeds plant intellectual intellectual property live",0.00878,0.10338,0.00590,0.00331,0.00689,0.01761,0.00447,0.01438,0.01120,0.00279,0.00315,0.00866,0.00643,0.00507,0.00449,0.00341,0.00416,0.01105,0.00227,0.01194,0.00602,0.01143,0.01582,0.00678,0.00261,0.00267,0.00812,0.01239,0.00282,0.01151,0.00607,0.19965,0.00534,0.00771,0.00613,0.00623,0.00380,0.01667,0.00192,0.00569,0.00825,0.00339,0.00556,0.00336,0.02287,0.01458
5,"Downloadable and online software","software online downloadable non-downloadable virtual featuring digital content",0.02436,0.00305,0.00321,0.00245,0.00379,0.00314,0.00308,0.00317,0.00298,0.05088,0.00500,0.00273,0.00396,0.01771,0.00606,0.00668,0.01639,0.00240,0.00371,0.00336,0.00458,0.00377,0.00325,0.00450,0.00276,0.00495,0.00387,0.00464,0.00821,0.00346,0.00413,0.00386,0.00443,0.00643,0.00438,0.02601,0.01524,0.00550,0.05585,0.01851,0.00862,0.05156,0.06879,0.01374,0.01664,0.12242
6,"Metal and building hardware","metal non-metal panels wood door building doors pipes",0.01106,0.00932,0.02062,0.00320,0.01232,0.00275,0.30401,0.01677,0.01455,0.00507,0.00538,0.01641,0.01314,0.00884,0.00668,0.00643,0.00464,0.05650,0.00411,0.29630,0.04774,0.01180,0.02426,0.00711,0.00628,0.00269,0.00512,0.02258,0.00446,0.00294,0.00355,0.00593,0.00392,0.00596,0.00679,0.00352,0.00211,0.02439,0.00140,0.00442,0.02794,0.00179,0.00386,0.00314,0.00202,0.00425
7,"Pharmaceutical preparations","preparations treatment diseases pharmaceutical disorders pharmaceutical preparations prevention preparations treatment",0.01376,0.01775,0.00549,0.01062,0.00459,0.20438,0.00229,0.00277,0.00296,0.00513,0.07015,0.00288,0.00284,0.00513,0.00389,0.00365,0.00569,0.00267,0.00219,0.00271,0.00468,0.00466,0.00295,0.00400,0.00236,0.00273,0.00233,0.00309,0.00448,0.00482,0.00542,0.00607,0.00554,0.00601,0.00601,0.00436,0.00372,0.00251,0.00192,0.00269,0.00896,0.00444,0.00770,0.00301,0.03136,0.00458
8,"Processed foods","food meat primarily processed vegetables coffee fish nuts",0.02092,0.00728,0.00454,0.00371,0.01365,0.00684,0.00379,0.00651,0.01580,0.00222,0.00292,0.01298,0.00308,0.00651,0.00420,0.00387,0.00673,0.00324,0.00427,0.00484,0.00555,0.02118,0.00564,0.00495,0.00353,0.00415,0.00329,0.00381,0.00396,0.39318,0.29346,0.08063,0.02359,0.00980,0.00630,0.00779,0.00199,0.00235,0.00131,0.00900,0.00969,0.00289,0.00566,0.09130,0.00327,0.00272
9,"Computer, software and information services","services computer software information data management business electronic",0.12576,0.00702,0.00804,0.00345,0.00918,0.00484,0.00886,0.00949,0.00485,0.22321,0.01364,0.00647,0.01095,0.00847,0.01054,0.01050,0.07330,0.00627,0.00693,0.00592,0.00905,0.00606,0.00712,0.00711,0.00506,0.00693,0.00961,0.00598,0.00923,0.00465,0.00500,0.00657,0.00574,0.00767,0.00553,0.24462,0.51242,0.08063,0.52522,0.14855,0.05347,0.08467,0.35810,0.02295,0.05330,0.21930
